title,rating,year,actors,runtime,url
De onzichtbare man,7.7,1933,Claude Rains;Gloria Stuart;William Harrigan;Henry Travers,71,https://www.imdb.com/title/tt0024184/
King Kong,7.9,1933,Fay Wray;Robert Armstrong;Bruce Cabot;Frank Reicher,100,https://www.imdb.com/title/tt0024216/
Das Testament des Dr. Mabuse,8.0,1933,Rudolf Klein-Rogge;Otto Wernicke;Thomy Bourdelle;Gustav Diessl,122,https://www.imdb.com/title/tt0023563/
Gold Diggers of 1933,7.7,1933,Warren William;Joan Blondell;Aline MacMahon;Ruby Keeler,97,https://www.imdb.com/title/tt0024069/
De dictator,7.8,1933,Groucho Marx;Harpo Marx;Chico Marx;Zeppo Marx,69,https://www.imdb.com/title/tt0023969/
L'Atalante,7.8,1934,Dita Parlo;Jean Dasté;Gilles Margaritis;Louis Lefebvre,89,https://www.imdb.com/title/tt0024844/
Tsarina van Rusland,7.6,1934,Marlene Dietrich;John Lodge;Sam Jaffe;Louise Dresser,104,https://www.imdb.com/title/tt0025746/
Het gebeurde op 'n avond,8.1,1934,Clark Gable;Claudette Colbert;Walter Connolly;Roscoe Karns,105,https://www.imdb.com/title/tt0025316/
The Gay Divorcee,7.5,1934,Fred Astaire;Ginger Rogers;Alice Brady;Edward Everett Horton,107,https://www.imdb.com/title/tt0025164/
The Thin Man,8.0,1934,William Powell;Myrna Loy;Maureen O'Sullivan;Nat Pendleton,91,https://www.imdb.com/title/tt0025878/
Bride of Frankenstein,7.8,1935,Boris Karloff;Elsa Lanchester;Colin Clive;Valerie Hobson,75,https://www.imdb.com/title/tt0026138/
Kapitein Blood,7.7,1935,Errol Flynn;Olivia de Havilland;Lionel Atwill;Basil Rathbone,119,https://www.imdb.com/title/tt0026174/
A Tale of Two Cities,7.8,1935,Ronald Colman;Elizabeth Allan;Edna May Oliver;Reginald Owen,128,https://www.imdb.com/title/tt0027075/
A Night at the Opera,7.9,1935,Groucho Marx;Chico Marx;Harpo Marx;Kitty Carlisle,96,https://www.imdb.com/title/tt0026778/
Top Hat,7.8,1935,Fred Astaire;Ginger Rogers;Edward Everett Horton;Erik Rhodes,101,https://www.imdb.com/title/tt0027125/
Dodsworth,7.8,1936,Walter Huston;Ruth Chatterton;Paul Lukas;Mary Astor,101,https://www.imdb.com/title/tt0027532/
Mr. Deeds Goes to Town,7.9,1936,Gary Cooper;Jean Arthur;George Bancroft;Lionel Stander,115,https://www.imdb.com/title/tt0027996/
My Man Godfrey,8.0,1936,William Powell;Carole Lombard;Alice Brady;Gail Patrick,94,https://www.imdb.com/title/tt0028010/
Modern Times,8.5,1936,Charles Chaplin;Paulette Goddard;Henry Bergman;Tiny Sandford,87,https://www.imdb.com/title/tt0027977/
Fury,7.9,1936,Sylvia Sidney;Spencer Tracy;Walter Abel;Bruce Cabot,92,https://www.imdb.com/title/tt0027652/
Pépé le Moko,7.8,1937,Jean Gabin;Gabriel Gabrio;Saturnin Fabre;Fernand Charpin,94,https://www.imdb.com/title/tt0029453/
