title,rating,year,actors,runtime,url
Le samouraï,8.1,1967,Alain Delon;François Périer;Nathalie Delon;Cathy Rosier,105,https://www.imdb.com/title/tt0062229/
Cool Hand Luke,8.1,1967,Paul Newman;George Kennedy;Strother Martin;J.D. Cannon,127,https://www.imdb.com/title/tt0061512/
Padosan,8.1,1968,Sunil Dutt;Saira Banu;Mehmood;Kishore Kumar,157,https://www.imdb.com/title/tt0063404/
Rosemary's Baby,8.0,1968,Mia Farrow;John Cassavetes;Ruth Gordon;Sidney Blackmer,137,https://www.imdb.com/title/tt0063522/
Apenplaneet,8.0,1968,Charlton Heston;Roddy McDowall;Kim Hunter;Maurice Evans,112,https://www.imdb.com/title/tt0063442/
2001: Een zwerftocht in de ruimte,8.3,1968,Keir Dullea;Gary Lockwood;William Sylvester;Daniel Richter,149,https://www.imdb.com/title/tt0062622/
Once Upon a Time in the West,8.5,1968,Henry Fonda;Charles Bronson;Claudia Cardinale;Jason Robards,165,https://www.imdb.com/title/tt0064116/
Spalovac mrtvol,8.0,1969,Rudolf Hrusínský;Vlasta Chramostová;Jana Stehnová;Milos Vognic,102,https://www.imdb.com/title/tt0063633/
A tanú,8.7,1969,Ferenc Kállai;Lajos Öze;Béla Both;Zoltán Fábri,105,https://www.imdb.com/title/tt0065067/
Brilliantovaya ruka,8.4,1969,Yuriy Nikulin;Nina Grebeshkova;Andrey Mironov;Anatoliy Papanov,94,https://www.imdb.com/title/tt0062759/
Z,8.2,1969,Yves Montand;Irene Papas;Jean-Louis Trintignant;François Périer,127,https://www.imdb.com/title/tt0065234/
The Army of Shadows,8.2,1969,Lino Ventura;Paul Meurisse;Jean-Pierre Cassel;Simone Signoret,145,https://www.imdb.com/title/tt0064040/
Beloe solntse pustyni,7.8,1970,Anatoliy Kuznetsov;Pavel Luspekayev;Spartak Mishulin;Kakhi Kavsadze,84,https://www.imdb.com/title/tt0066565/
De dader staat boven verdenking,8.1,1970,Gian Maria Volontè;Florinda Bolkan;Gianni Santuccio;Orazio Orlando,115,https://www.imdb.com/title/tt0065889/
De Rode Cirkel,8.0,1970,Alain Delon;Bourvil;Gian Maria Volontè;Yves Montand,140,https://www.imdb.com/title/tt0065531/
Patton,7.9,1970,George C. Scott;Karl Malden;Stephen Young;Michael Strong,172,https://www.imdb.com/title/tt0066206/
Il conformista,8.0,1970,Jean-Louis Trintignant;Stefania Sandrelli;Gastone Moschin;Enzo Tarascio,113,https://www.imdb.com/title/tt0065571/
A Clockwork Orange,8.3,1971,Malcolm McDowell;Patrick Magee;Michael Bates;Warren Clarke,136,https://www.imdb.com/title/tt0066921/
Dzhentlmeny udachi,8.4,1971,Evgeniy Leonov;Georgiy Vitsin;Saveliy Kramarov;Radner Muratov,88,https://www.imdb.com/title/tt0068519/
Anand,8.2,1971,Rajesh Khanna;Amitabh Bachchan;Sumita Sanyal;Ramesh Deo,122,https://www.imdb.com/title/tt0066763/
De Laatste Kruistocht,8.4,1971,Amza Pellea;Ion Besoiu;Olga Tudorache;Irina Gardescu,203,https://www.imdb.com/title/tt0066078/
12 stulev,8.3,1971,Archil Gomiashvili;Sergey Filippov;Mikhail Pugovkin;Glikeriya Bogdanova-Chesnokova,153,https://www.imdb.com/title/tt0065670/
Kozure Ôkami: Sanzu no kawa no ubaguruma,8.0,1972,Tomisaburô Wakayama;Kayo Matsuo;Minoru Ôki;Akiji Kobayashi,82,https://www.imdb.com/title/tt0068816/
Sleuth,8.0,1972,Laurence Olivier;Michael Caine;Alec Cawthorne;John Matthews,138,https://www.imdb.com/title/tt0069281/
Solaris,8.0,1972,Natalya Bondarchuk;Donatas Banionis;Jüri Järvet;Vladislav Dvorzhetskiy,167,https://www.imdb.com/title/tt0069293/
The Godfather,9.2,1972,Marlon Brando;Al Pacino;James Caan;Diane Keaton,175,https://www.imdb.com/title/tt0068646/
Schreeuw zonder antwoord,8.1,1972,Harriet Andersson;Liv Ullmann;Kari Sylwan;Ingrid Thulin,91,https://www.imdb.com/title/tt0069467/
Paper Moon,8.1,1973,Ryan O'Neal;Tatum O'Neal;Madeline Kahn;John Hillerman,102,https://www.imdb.com/title/tt0070510/
The Sting,8.3,1973,Paul Newman;Robert Redford;Robert Shaw;Charles Durning,129,https://www.imdb.com/title/tt0070735/
The Exorcist,8.0,1973,Ellen Burstyn;Max von Sydow;Linda Blair;Lee J. Cobb,122,https://www.imdb.com/title/tt0070047/
Canim Kardesim,8.7,1973,Tarik Akan;Kahraman Kiral;Halit Akçatepe;Metin Akpinar,92,https://www.imdb.com/title/tt0267351/
Ivan Vasilevich menyaet professiyu,8.3,1973,Yuriy Yakovlev;Leonid Kuravlyov;Aleksandr Demyanenko;Saveliy Kramarov,88,https://www.imdb.com/title/tt0070233/
Chinatown,8.2,1974,Jack Nicholson;Faye Dunaway;John Huston;Perry Lopez,130,https://www.imdb.com/title/tt0071315/
The Godfather: Part II,9.0,1974,Al Pacino;Robert De Niro;Robert Duvall;Diane Keaton,202,https://www.imdb.com/title/tt0071562/
Köyden Indim Sehire,8.3,1974,Kemal Sunal;Meral Zeren;Zeki Alasya;Metin Akpinar,77,https://www.imdb.com/title/tt0252619/
Scener ur ett äktenskap,8.4,1974,Liv Ullmann;Erland Josephson;Bibi Andersson;Gunnel Lindblom,169,https://www.imdb.com/title/tt6725014/
A Woman Under the Influence,8.2,1974,Gena Rowlands;Peter Falk;Fred Draper;Lady Rowlands,155,https://www.imdb.com/title/tt0072417/
One Flew Over the Cuckoo's Nest,8.7,1975,Jack Nicholson;Louise Fletcher;Michael Berryman;Peter Brocco,133,https://www.imdb.com/title/tt0073486/
Hababam Sinifi,9.3,1975,Kemal Sunal;Münir Özkul;Halit Akçatepe;Tarik Akan,87,https://www.imdb.com/title/tt0252487/
Dersu Uzala,8.3,1975,Maksim Munzuk;Yuriy Solomin;Mikhail Bychkov;Vladimir Khrulyov,142,https://www.imdb.com/title/tt0071411/
Bizim Aile,8.4,1975,Tayfun Akalin;Tarik Akan;Tuncay Akça;Halit Akçatepe,88,https://www.imdb.com/title/tt0456047/
Flåklypa Grand Prix,8.5,1975,Wenche Foss;Per Theodor Haugen;Harald Heide-Steen Jr.;Leif Juster,88,https://www.imdb.com/title/tt0073000/
Tosun Pasa,9.0,1976,Kemal Sunal;Müjde Ar;Adile Nasit;Sener Sen,90,https://www.imdb.com/title/tt0253828/
Hababam Sinifi Sinifta Kaldi,8.9,1976,Kemal Sunal;Münir Özkul;Semra Özdamar;Adile Nasit,91,https://www.imdb.com/title/tt0252488/
Süt Kardesler,8.9,1976,Kemal Sunal;Sener Sen;Halit Akçatepe;Hale Soygazi,80,https://www.imdb.com/title/tt0253779/
Al-risâlah,9.0,1976,Abdallah Gheith;Mona Wassef;Hamdy Gheith;Ali Achmed Taram,207,https://www.imdb.com/title/tt0075143/
Kapicilar Krali,8.4,1976,Kemal Sunal;Sevda Ferdag;Bilge Zobu;Sevket Altug,84,https://www.imdb.com/title/tt0252591/
Selvi Boylum Al Yazmalim,8.6,1977,Türkan Soray;Kadir Inanir;Ahmet Mekin;Hülya Tuglu,90,https://www.imdb.com/title/tt0263975/
Star Wars: Episode IV - A New Hope,8.6,1977,Mark Hamill;Harrison Ford;Carrie Fisher;Alec Guinness,121,https://www.imdb.com/title/tt0076759/
Hababam Sinifi Uyaniyor,8.8,1977,Tayfun Akalin;Tuncay Akça;Halit Akçatepe;Sitki Akçatepe,94,https://www.imdb.com/title/tt0252490/
Hababam Sinifi Tatilde,8.7,1977,Sevda Aktolga;Ahmet Ariman;Filiz Bozkurt;Aysen Gruda,97,https://www.imdb.com/title/tt0252489/
Saban Oglu Saban,8.7,1977,Kemal Sunal;Halit Akçatepe;Sener Sen;Sevda Aktolga,90,https://www.imdb.com/title/tt0253614/
Dawn of the Dead,7.9,1978,David Emge;Ken Foree;Scott H. Reiniger;Gaylen Ross,127,https://www.imdb.com/title/tt0077402/
Höstsonaten,8.2,1978,Ingrid Bergman;Liv Ullmann;Lena Nyman;Halvar Björk,99,https://www.imdb.com/title/tt0077711/
The Deer Hunter,8.1,1978,Robert De Niro;Christopher Walken;John Cazale;John Savage,183,https://www.imdb.com/title/tt0077416/
Neseli Günler,8.7,1978,Münir Özkul;Adile Nasit;Sener Sen;Aysen Gruda,92,https://www.imdb.com/title/tt0765833/
Kibar Feyzo,8.7,1978,Kemal Sunal;Sener Sen;Ilyas Salman;Adile Nasit,83,https://www.imdb.com/title/tt0252597/
Stalker,8.1,1979,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn;Nikolay Grinko,162,https://www.imdb.com/title/tt0079944/
Golmaal,8.6,1979,Amol Palekar;Bindiya Goswami;Deven Verma;Shubha Khote,120,https://www.imdb.com/title/tt0079221/
Korkusuz Korkak,8.1,1979,Kemal Sunal;Aysen Atav;Turgut Özatay;Nejat Gürçen,77,https://www.imdb.com/title/tt0252611/
Apocalypse Now,8.4,1979,Martin Sheen;Marlon Brando;Robert Duvall;Frederic Forrest,147,https://www.imdb.com/title/tt0078788/
Alien,8.4,1979,Sigourney Weaver;Tom Skerritt;John Hurt;Veronica Cartwright,117,https://www.imdb.com/title/tt0078748/
Ko to tamo peva,8.8,1980,Pavle Vuisic;Dragan Nikolic;Danilo 'Bata' Stojkovic;Aleksandar Bercek,86,https://www.imdb.com/title/tt0076276/
Zübük,8.6,1980,Kemal Sunal;Nevra Serezli;Kadir Savun;Bülent Kayabas,88,https://www.imdb.com/title/tt0253991/
Omar Mukhtar: Lion of the Desert,8.3,1980,Anthony Quinn;Oliver Reed;Rod Steiger;Irene Papas,173,https://www.imdb.com/title/tt0081059/
The Shining,8.4,1980,Jack Nicholson;Shelley Duvall;Danny Lloyd;Scatman Crothers,146,https://www.imdb.com/title/tt0081505/
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams,124,https://www.imdb.com/title/tt0080684/
Mis,8.2,1981,Stanislaw Tym;Barbara Burska;Christine Paul;Krzysztof Kowalewski,111,https://www.imdb.com/title/tt0082755/
Vuk,8.3,1981,Judit Pogány;József Gyabronka;Teri Földi;Gyula Szabó,79,https://www.imdb.com/title/tt0131636/
Das Boot,8.3,1981,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann;Hubertus Bengsch,149,https://www.imdb.com/title/tt0082096/
Indiana Jones and the Raiders of the Lost Ark,8.4,1981,Harrison Ford;Karen Allen;Paul Freeman;John Rhys-Davies,115,https://www.imdb.com/title/tt0082971/
Davaro: Son Eskiya,8.1,1981,Kemal Sunal;Sener Sen;Pembe Mutlu;Aysen Gruda,94,https://www.imdb.com/title/tt0252361/
Angoor,8.3,1982,Sanjeev Kumar;Moushumi Chatterjee;Deven Verma;Aruna Irani,131,https://www.imdb.com/title/tt0215517/
Çiçek Abbas,8.1,1982,Ilyas Salman;Sener Sen;Aysen Gruda;Pembe Mutlu,87,https://www.imdb.com/title/tt0263208/
The Thing,8.1,1982,Kurt Russell;Wilford Brimley;Keith David;Richard Masur,109,https://www.imdb.com/title/tt0084787/
Blade Runner,8.1,1982,Harrison Ford;Rutger Hauer;Sean Young;Edward James Olmos,117,https://www.imdb.com/title/tt0083658/
Maratonci trce pocasni krug,8.9,1982,Bogdan Diklic;Danilo 'Bata' Stojkovic;Pavle Vuisic;Mija Aleksic,92,https://www.imdb.com/title/tt0084302/
Jaane Bhi Do Yaaro,8.4,1983,Naseeruddin Shah;Ravi Baswani;Bhakti Barve;Satish Shah,132,https://www.imdb.com/title/tt0085743/
Scarface,8.3,1983,Al Pacino;Michelle Pfeiffer;Steven Bauer;Mary Elizabeth Mastrantonio,170,https://www.imdb.com/title/tt0086250/
Nostalgia,8.1,1983,Oleg Yankovskiy;Erland Josephson;Domiziana Giordano;Patrizia Terreno,125,https://www.imdb.com/title/tt0086022/
Star Wars: Episode VI - Return of the Jedi,8.3,1983,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams,131,https://www.imdb.com/title/tt0086190/
Hadashi no Gen,8.0,1983,Issei Miyazaki;Catherine Battistone;Yoshie Shimamura;Iona Morris,83,https://www.imdb.com/title/tt0085218/
Balkanski spijun,8.9,1984,Danilo 'Bata' Stojkovic;Bora Todorovic;Mira Banjac;Sonja Savic,95,https://www.imdb.com/title/tt0086935/
Once Upon a Time in America,8.3,1984,Robert De Niro;James Woods;Elizabeth McGovern;Treat Williams,229,https://www.imdb.com/title/tt0087843/
Varljivo leto '68,8.5,1984,Slavko Stimac;Danilo 'Bata' Stojkovic;Mira Banjac;Mija Aleksic,91,https://www.imdb.com/title/tt0088338/
Amadeus,8.3,1984,F. Murray Abraham;Tom Hulce;Elizabeth Berridge;Roy Dotrice,160,https://www.imdb.com/title/tt0086879/
Namuslu,8.1,1984,Sener Sen;Adile Nasit;Aysen Gruda;Erdal Özyagcilar,93,https://www.imdb.com/title/tt0263776/
Esperando la carroza,8.1,1985,Luis Brandoni;China Zorrilla;Antonio Gasalla;Julio De Grazia,94,https://www.imdb.com/title/tt0089108/
Zügürt Aga,8.7,1985,Sener Sen;Erdal Özyagcilar;Nilgün Nazli;Füsun Demirel,101,https://www.imdb.com/title/tt0201368/
Ran,8.2,1985,Tatsuya Nakadai;Akira Terao;Jinpachi Nezu;Daisuke Ryû,162,https://www.imdb.com/title/tt0089881/
Idi i smotri,8.3,1985,Aleksey Kravchenko;Olga Mironova;Liubomiras Laucevicius;Vladas Bagdonas,142,https://www.imdb.com/title/tt0091251/
Terug naar de toekomst,8.5,1985,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover,116,https://www.imdb.com/title/tt0088763/
Macskafogó,8.4,1986,Miklós Benedek;Gyula Bodrogi;Ilona Béres;Péter Haumann,96,https://www.imdb.com/title/tt0179955/
Platoon,8.1,1986,Charlie Sheen;Tom Berenger;Willem Dafoe;Keith David,120,https://www.imdb.com/title/tt0091763/
Aliens,8.3,1986,Sigourney Weaver;Michael Biehn;Carrie Henn;Paul Reiser,137,https://www.imdb.com/title/tt0090605/
Kin-dza-dza!,8.1,1986,Stanislav Lyubshin;Evgeniy Leonov;Yuriy Yakovlev;Levan Gabriadze,135,https://www.imdb.com/title/tt0091341/
Stand by Me,8.1,1986,Wil Wheaton;River Phoenix;Corey Feldman;Jerry O'Connell,89,https://www.imdb.com/title/tt0092005/
Hachikô monogatari,8.1,1987,Tatsuya Nakadai;Kaoru Yachigusa;Toshinori Omi;Toshirô Yanagiba,107,https://www.imdb.com/title/tt0093132/
Muhsin Bey,8.5,1987,Sener Sen;Ugur Yücel;Sermin Hürmeriç;Osman Cavci,119,https://www.imdb.com/title/tt0184756/
Full Metal Jacket,8.3,1987,Matthew Modine;R. Lee Ermey;Vincent D'Onofrio;Adam Baldwin,116,https://www.imdb.com/title/tt0093058/
Nayakan,8.7,1987,Kamal Haasan;Saranya Ponvannan;Delhi Ganesh;Janakaraj,145,https://www.imdb.com/title/tt0093603/
The Princess Bride,8.1,1987,Cary Elwes;Mandy Patinkin;Robin Wright;Chris Sarandon,98,https://www.imdb.com/title/tt0093779/
Hotaru no haka,8.5,1988,Tsutomu Tatsumi;Ayano Shiraishi;Akemi Yamaguchi;Yoshiko Shinohara,89,https://www.imdb.com/title/tt0095327/
Krótki film o milosci,8.2,1988,Grazyna Szapolowska;Olaf Lubaszenko;Stefania Iwinska;Piotr Machalica,87,https://www.imdb.com/title/tt0095467/
Chithram,8.6,1988,Mohanlal;Nedumudi Venu;Renjini;Poornam Vishwanathan,159,https://www.imdb.com/title/tt0214585/
Dom za vesanje,8.2,1988,Davor Dujmovic;Bora Todorovic;Ljubica Adzovic;Husnija Hasimovic,142,https://www.imdb.com/title/tt0097223/
Nuovo Cinema Paradiso,8.5,1988,Philippe Noiret;Enzo Cannavale;Antonella Attili;Isa Danieli,155,https://www.imdb.com/title/tt0095765/
Kireedam,8.9,1989,Mohanlal;Thilakan;Kaviyoor Ponnamma;Parvathi,124,https://www.imdb.com/title/tt0237376/
Uçurtmayi Vurmasinlar,8.4,1989,Ozan Bilen;Nur Sürer;Füsun Demirel;Güzin Özipek,100,https://www.imdb.com/title/tt0098573/
Dead Poets Society,8.1,1989,Robin Williams;Robert Sean Leonard;Ethan Hawke;Josh Charles,128,https://www.imdb.com/title/tt0097165/
Oru Vadakkan Veeragatha,8.8,1989,Mammootty;Madhavi;Devan;Suresh Gopi,168,https://www.imdb.com/title/tt0230597/
Indiana Jones and the Last Crusade,8.2,1989,Harrison Ford;Sean Connery;Alison Doody;Denholm Elliott,127,https://www.imdb.com/title/tt0097576/
Hamoun,8.0,1990,Pantea Bahram;Ezzatolah Entezami;Bita Farahi;Sedigheh Kianfar,120,https://www.imdb.com/title/tt0099729/
Dances with Wolves,8.0,1990,Kevin Costner;Mary McDonnell;Graham Greene;Rodney A. Grant,181,https://www.imdb.com/title/tt0099348/
Edward Scissorhands,7.9,1990,Johnny Depp;Winona Ryder;Dianne Wiest;Anthony Michael Hall,105,https://www.imdb.com/title/tt0099487/
Nema-ye Nazdik,8.3,1990,Hossain Sabzian;Mohsen Makhmalbaf;Abolfazl Ahankhah;Mehrdad Ahankhah,98,https://www.imdb.com/title/tt0100234/
Goodfellas,8.7,1990,Robert De Niro;Ray Liotta;Joe Pesci;Lorraine Bracco,146,https://www.imdb.com/title/tt0099685/
Thalapathi,8.5,1991,Rajinikanth;Mammootty;Shobana;Arvind Swamy,157,https://www.imdb.com/title/tt0101649/
The Silence of the Lambs,8.6,1991,Jodie Foster;Anthony Hopkins;Lawrence A. Bonney;Kasi Lemmons,118,https://www.imdb.com/title/tt0102926/
Gu ling jie shao nian sha ren shi jian,8.4,1991,Chang Chen;Lisa Yang;Kuo-Chu Chang;Elaine Jin,237,https://www.imdb.com/title/tt0101985/
Terminator 2: Judgment Day,8.5,1991,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong;Robert Patrick,137,https://www.imdb.com/title/tt0103064/
Dà hóng denglong gaogao guà,8.1,1991,Gong Li;Jingwu Ma;Saifei He;Cuifen Cao,125,https://www.imdb.com/title/tt0101640/
Mi nismo andjeli,8.4,1992,Nikola Kojo;Milena Pavlovic;Branka Katic;Srdjan 'Zika' Todorovic,98,https://www.imdb.com/title/tt0104860/
Reservoir Dogs,8.3,1992,Harvey Keitel;Tim Roth;Michael Madsen;Chris Penn,99,https://www.imdb.com/title/tt0105236/
Thevar Magan,8.7,1992,Kamal Haasan;Shivaji Ganesan;Nassar;Revathi,145,https://www.imdb.com/title/tt0105575/
Jo Jeeta Wohi Sikandar,8.2,1992,Aamir Khan;Ayesha Jhulka;Deepak Tijori;Pooja Bedi,174,https://www.imdb.com/title/tt0104561/
Roja,8.2,1992,Arvind Swamy;Madhoo;Pankaj Kapur;Nassar,137,https://www.imdb.com/title/tt0105271/
Schindler's List,8.9,1993,Liam Neeson;Ralph Fiennes;Ben Kingsley;Caroline Goodall,195,https://www.imdb.com/title/tt0108052/
In the Name of the Father,8.1,1993,Daniel Day-Lewis;Pete Postlethwaite;Alison Crosbie;Philip King,133,https://www.imdb.com/title/tt0107207/
Jurassic Park,8.1,1993,Sam Neill;Laura Dern;Jeff Goldblum;Richard Attenborough,127,https://www.imdb.com/title/tt0107290/
Devasuram,8.7,1993,Mohanlal;Revathi;Nedumudi Venu;Innocent,187,https://www.imdb.com/title/tt0291855/
Manichitrathazhu,8.8,1993,Mohanlal;Shobana;Suresh Gopi;Vinaya Prasad,169,https://www.imdb.com/title/tt0214915/
Pulp Fiction,8.9,1994,John Travolta;Uma Thurman;Samuel L. Jackson;Bruce Willis,154,https://www.imdb.com/title/tt0110912/
Léon,8.5,1994,Jean Reno;Gary Oldman;Natalie Portman;Danny Aiello,110,https://www.imdb.com/title/tt0110413/
The Lion King,8.5,1994,Matthew Broderick;Jeremy Irons;James Earl Jones;Whoopi Goldberg,88,https://www.imdb.com/title/tt0110357/
Forrest Gump,8.8,1994,Tom Hanks;Robin Wright;Gary Sinise;Sally Field,142,https://www.imdb.com/title/tt0109830/
The Shawshank Redemption,9.3,1994,Tim Robbins;Morgan Freeman;Bob Gunton;William Sadler,142,https://www.imdb.com/title/tt0111161/
The Usual Suspects,8.5,1995,Kevin Spacey;Gabriel Byrne;Chazz Palminteri;Stephen Baldwin,106,https://www.imdb.com/title/tt0114814/
Toy Story,8.3,1995,Tom Hanks;Tim Allen;Don Rickles;Jim Varney,81,https://www.imdb.com/title/tt0114709/
Seven,8.6,1995,Morgan Freeman;Brad Pitt;Kevin Spacey;Andrew Kevin Walker,127,https://www.imdb.com/title/tt0114369/
Spadikam,8.6,1995,Mohanlal;Thilakan;Sphadikam George;Urvashi,150,https://www.imdb.com/title/tt0292246/
Braveheart,8.3,1995,Mel Gibson;Sophie Marceau;Patrick McGoohan;Angus Macfadyen,178,https://www.imdb.com/title/tt0112573/
Lepa sela lepo gore,8.7,1996,Dragan Bjelogrlic;Nikola Kojo;Dragan Maksimovic;Zoran Cvijanovic,115,https://www.imdb.com/title/tt0116860/
Eskiya,8.2,1996,Sener Sen;Ugur Yücel;Sermin Hürmeriç;Yesim Salkim,128,https://www.imdb.com/title/tt0116231/
Poove Unakkaga,8.7,1996,Anju Aravind;Madhan Bob;Charlie;Jai Ganesh,150,https://www.imdb.com/title/tt2325915/
Tian mi mi,8.1,1996,Maggie Cheung;Leon Lai;Eric Tsang;Kristy Yeung,118,https://www.imdb.com/title/tt0117905/
Trainspotting,8.1,1996,Ewan McGregor;Ewen Bremner;Jonny Lee Miller;Kevin McKidd,93,https://www.imdb.com/title/tt0117951/
Het leven is mooi,8.6,1997,Roberto Benigni;Nicoletta Braschi;Giorgio Cantarini;Giustino Durano,116,https://www.imdb.com/title/tt0118799/
Bacheha-Ye aseman,8.3,1997,Mohammad Amir Naji;Amir Farrokh Hashemian;Bahare Seddiqi;Nafise Jafar-Mohammadi,89,https://www.imdb.com/title/tt0118849/
Iruvar,8.5,1997,Mohanlal;Prakash Raj;Aishwarya Rai Bachchan;Gautami,140,https://www.imdb.com/title/tt0119385/
Good Will Hunting,8.3,1997,Robin Williams;Matt Damon;Ben Affleck;Stellan Skarsgård,126,https://www.imdb.com/title/tt0119217/
Mononoke-hime,8.4,1997,Yôji Matsuda;Yuriko Ishida;Yûko Tanaka;Billy Crudup,134,https://www.imdb.com/title/tt0119698/
American History X,8.5,1998,Edward Norton;Edward Furlong;Beverly D'Angelo;Jennifer Lien,119,https://www.imdb.com/title/tt0120586/
"Lock, Stock and Two Smoking Barrels",8.2,1998,Jason Flemyng;Dexter Fletcher;Nick Moran;Jason Statham,107,https://www.imdb.com/title/tt0120735/
Lajanje na zvezde,8.7,1998,Dragan Micanovic;Natasa Tapuskovic;Nikola Simic;Velimir 'Bata' Zivojinovic,95,https://www.imdb.com/title/tt0187231/
Satya,8.3,1998,J.D. Chakravarthi;Manoj Bajpayee;Urmila Matondkar;Paresh Rawal,170,https://www.imdb.com/title/tt0195231/
Saving Private Ryan,8.6,1998,Tom Hanks;Matt Damon;Tom Sizemore;Edward Burns,169,https://www.imdb.com/title/tt0120815/
The Matrix,8.7,1999,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Hugo Weaving,136,https://www.imdb.com/title/tt0133093/
The Green Mile,8.6,1999,Tom Hanks;Michael Clarke Duncan;David Morse;Bonnie Hunt,189,https://www.imdb.com/title/tt0120689/
Fight Club,8.8,1999,Brad Pitt;Edward Norton;Meat Loaf;Zach Grenier,139,https://www.imdb.com/title/tt0137523/
Thulladha Manamum Thullum,8.4,1999,Joseph Vijay;Simran;Dhamu;Vaiyapuri,170,https://www.imdb.com/title/tt1517561/
Mudhalvan,8.4,1999,Arjun Sarja;Manisha Koirala;Raghuvaran;Vadivelu,169,https://www.imdb.com/title/tt0220656/
Snatch,8.3,2000,Jason Statham;Brad Pitt;Stephen Graham;Vinnie Jones,104,https://www.imdb.com/title/tt0208092/
Memento,8.4,2000,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano;Mark Boone Junior,113,https://www.imdb.com/title/tt0209144/
Gladiator,8.5,2000,Russell Crowe;Joaquin Phoenix;Connie Nielsen;Oliver Reed,155,https://www.imdb.com/title/tt0172495/
O Auto da Compadecida,8.7,2000,Matheus Nachtergaele;Selton Mello;Rogério Cardoso;Denise Fraga,104,https://www.imdb.com/title/tt0271383/
Requiem for a Dream,8.3,2000,Ellen Burstyn;Jared Leto;Jennifer Connelly;Marlon Wayans,102,https://www.imdb.com/title/tt0180093/
A Beautiful Mind,8.2,2001,Russell Crowe;Ed Harris;Jennifer Connelly;Christopher Plummer,135,https://www.imdb.com/title/tt0268978/
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,Elijah Wood;Ian McKellen;Orlando Bloom;Sean Bean,178,https://www.imdb.com/title/tt0120737/
Spirited Away,8.6,2001,Daveigh Chase;Suzanne Pleshette;Miyu Irino;Rumi Hiiragi,125,https://www.imdb.com/title/tt0245429/
Le fabuleux destin d'Amélie Poulain,8.3,2001,Audrey Tautou;Mathieu Kassovitz;Rufus;Lorella Cravotta,122,https://www.imdb.com/title/tt0211915/
"Monsters, Inc.",8.1,2001,Billy Crystal;John Goodman;Mary Gibbs;Steve Buscemi,92,https://www.imdb.com/title/tt0198781/
Mrtav 'ladan,8.4,2002,Nikola Djuricko;Sonja Kolacaric;Tara Manic;Srdjan 'Zika' Todorovic,90,https://www.imdb.com/title/tt0301634/
Cidade de Deus,8.6,2002,Alexandre Rodrigues;Leandro Firmino;Matheus Nachtergaele;Phellipe Haagensen,130,https://www.imdb.com/title/tt0317248/
The Pianist,8.5,2002,Adrien Brody;Thomas Kretschmann;Frank Finlay;Emilia Fox,150,https://www.imdb.com/title/tt0253474/
Filantropica,8.5,2002,Mircea Diaconu;Gheorghe Dinica;Mara Nicolescu;Viorica Voda,110,https://www.imdb.com/title/tt0314067/
The Lord of the Rings: The Two Towers,8.7,2002,Elijah Wood;Ian McKellen;Viggo Mortensen;Orlando Bloom,179,https://www.imdb.com/title/tt0167261/
The Lord of the Rings: The Return of the King,8.9,2003,Elijah Wood;Viggo Mortensen;Ian McKellen;Orlando Bloom,201,https://www.imdb.com/title/tt0167260/
Oldeuboi,8.4,2003,Choi Min-sik;Yoo Ji-Tae;Kang Hye-jeong;Kim Byeong-Ok,120,https://www.imdb.com/title/tt0364569/
Anbe Sivam,8.7,2003,Kamal Haasan;Madhavan;Kiran Rathod;Nassar,160,https://www.imdb.com/title/tt0367495/
La meglio gioventù,8.5,2003,Luigi Lo Cascio;Alessio Boni;Jasmine Trinca;Adriana Asti,366,https://www.imdb.com/title/tt0346336/
Profesionalac,8.5,2003,Bora Todorovic;Branislav Lecic;Natasa Ninkovic;Dragan Jovanovic,104,https://www.imdb.com/title/tt0339535/
Virumandi,8.4,2004,Kamal Haasan;Abhirami;Pasupathy;Napolean,175,https://www.imdb.com/title/tt0364647/
Eternal Sunshine of the Spotless Mind,8.3,2004,Jim Carrey;Kate Winslet;Tom Wilkinson;Gerry Robert Byrne,108,https://www.imdb.com/title/tt0338013/
Kad porastem bicu Kengur,8.5,2004,Sergej Trifunovic;Marija Karan;Nebojsa Glogovac;Boris Milivojevic,92,https://www.imdb.com/title/tt0383846/
Black Friday,8.5,2004,Kay Kay Menon;Pawan Malhotra;Aditya Srivastav;Dibyendu Bhattacharya,143,https://www.imdb.com/title/tt0400234/
Marmoulak,8.5,2004,Parviz Parastui;Bahram Ebrahimi;Shahrokh Foroutanian;Farideh Sepah Mansour,115,https://www.imdb.com/title/tt0416960/
Pardon,8.2,2005,Ferhan Sensoy;Rasim Öztekin;Ali Çatalbas;Bülent Kayabas,94,https://www.imdb.com/title/tt0425333/
